name,playerid,nationality,dob,batstyle,bowlstyle,cricinfo_id
Laraib Malik Aziz,11532089,Pakistan,2002-12-09,Right-hand bat,Right-arm medium,6856345
Sarvesh Patil,11508390,India,2003-02-27,Right-hand bat,,102178
Spencer Johnson,402488,Australia,1995-12-16,Left-hand bat,Left-arm fast,1123718
Thisara Perera,9505623,Sri Lanka,1989-04-03,Left-hand bat,Right-arm medium-fast,233514
Sean Dickson,9201463,South Africa,1991-09-02,Right-hand bat,Right-arm medium,688141
Yohan Maddege,11510504,SriLanka,1996-01-18,Right-hand bat,Legbreak,1321853
Sasith Manuranga,9505433,Sri Lanka,1999-12-27,Right-hand bat,,1215038
Ashay Palkar,4502982,India,1989-09-01,Right-hand bat,Right-arm medium,1159730
John Olive,11201188,West Indies,1985-02-19,Right-hand bat,Right-arm medium-fast,333040
Harwinderpal Singh,11510983,Cyprus,1988-03-29,Right-hand bat,Right-arm medium,123779
Tanvir Javed,11511230,United Arab Emirates,1989-09-15,,,88790
Karanveer Singh,4509021,India,1987-11-08,Right-hand bat,Legbreak googly,322535
Rivaldo Ramlogan,11201998,West Indies,2002-03-26,Right-hand bat,Left-arm fast-medium,9797995
Deepak Mahato,11511437,India,2000-11-30,Right-hand bat,Right-arm offbreak,721199
Anand Rajshekara,4511597,India,1989-04-26,Right-hand bat,Right-arm offbreak,86599
Vedant Kamble,11531963,India,2006-10-16,,,8379327
Nitesh,11532060,Ghana,1999-05-01,Right-hand bat,Right-arm medium,1376223
Noor-Ul-Iman,11532090,Pakistan,2002-10-02,Right-hand bat,Right-arm offbreak,7244625
Nathan McAndrew,403214,Australia,1993-07-14,Right-hand bat,Right-arm fast-medium,785323
Nilmini Liyanage,11511495,Cyprus,1981-09-04,Right-hand bat,Right-arm medium,287396
Azam Khan,801373,Bangladesh,1991-12-26,Right-hand bat,,927391
Ihsan Raza,11510984,Cyprus,1999-02-22,Right-hand bat,Right-arm medium,89354
Tanvir Ahmed,7502639,Pakistan,1978-12-20,Right-hand bat,Right-arm fast-medium,43307
Fitria Rada Rani,4600023,Indonesia,1997-06-25,Right-hand bat,Right-arm medium-fast,1116783
Desi Wulandari,4600067,Indonesia,2003-12-15,Right-hand bat,Right-arm medium,4213215
Junior Bailey,11512081,West Indies,1993-02-09,Right-hand bat,Right-arm fast,112589
Nadun Dilshan,11501533,Sri Lanka,2000-05-13,Left-hand bat,,1302596
Salindu Pathirana,11501377,SriLanka,2003-02-05,Left-hand bat,Legbreak,129372462
Senash Fernando,11501332,Sri Lanka,2002-11-06,Right-hand bat,Slow left-arm orthodox,3201304
Siphokuhle Masilela,11531913,South Africa,2011-10-04,Right-hand bat,,119654
Maruti Kamble,11531964,India,2001-07-20,,,1071564
Josh Davey,8600049,Scotland,1990-08-03,Right-hand bat,Right-arm medium-fast,407265
Aditya Pawar,11205052,India,2004-04-08,Right-hand bat,Right-arm offbreak,185042
Brandon Ramdial,11202912,West Indies,1994-09-29,Right-hand bat,Right-arm slow,923702
Rida Aslam,11203407,Pakistan,2005-06-29,Right-hand bat,Slow left-arm unorthodox,1352112
Vinushka Silva,11511764,Sri Lanka,2002-01-25,Right-hand bat,Right-arm medium,1303454
Jugraj Singh,9400229,Spain,1994-04-08,Right-hand bat,,134446
Keon Isaac,11202703,West Indies,1989-06-09,Right-hand bat,Right-arm fast,1269175
Kirt Walker,11511176,West Indies,1993-11-26,,,171234
Jordan Samkaran,11500582,West Indies,1995-10-19,Left-hand bat,Legbreak,121919
Zara Craig,4900506,Ireland,2003-10-13,Right-hand bat,Right-arm fast-medium,44737
Rory Kleinveldt,9204876,South Africa,1983-03-15,Right-hand bat,Right-arm fast-medium,45949
Kanwardeep Singh,11511784,Romania,1983-03-19,Right-hand bat,Left-arm slow,108195
Amit Yadav,11529506,India,2006-07-15,,,73674497
Chinmay Behre,11531965,India,2007-04-17,,,5801473
Cole McConchie,7100444,New Zealand,1992-01-12,Right-hand bat,Right-arm offbreak,526021
Samiya Afsar,11532091,Pakistan,2012-04-04,Left-hand bat,,1345066
Kamaljit Singh,11500373,India,1988-03-21,Right-hand bat,Right-arm medium,375051
Divyans Sharma,11531966,India,2007-06-09,,,4512805
Brett Randell,7100421,New Zealand,1995-05-20,Right-hand bat,Right-arm medium,707193
Hafsa Khalid,7504602,Pakistan,1997-11-05,Right-hand bat,,1144879
Aman Iqbal Khan,11532191,India,1995-07-12,Left-hand bat,Legbreak,1377679367
Evin Lewis,11200143,West Indies,1991-12-27,Left-hand bat,,431901
Amitha Pereira,11511765,Sri Lanka,2004-11-06,Left-hand bat,Right-arm offbreak,1437881
Luka Woods,11512088,Serbia,2004-12-10,Right-hand bat,Right-arm offbreak,110051
Rehan Khan,4507188,India,1990-01-08,Right-hand bat,Right-arm medium-fast,1159818
Ananya Sarma,11511960,Singapore,2009-05-19,Right-hand bat,,1492763
Shankar Dangat,11531967,India,2005-09-25,,,6013423
Thomas O Connor,11532062,New Zealand,2004-08-10,Right-hand bat,Left-arm medium,9681029
Ayesha Rehman,11532092,Pakistan,2004-12-27,Right-hand bat,,315579
Ankit Vishwakarma,11205071,India,2000-03-01,Right-hand bat,Legbreak,185061
Shaldavya Kuruganti,11206636,India,1984-08-07,Right-hand bat,,94256
Arjun Gharti,11501554,Nepal,2003-08-21,Right-hand bat,,1296158
Daniel Sams,401136,Australia,1992-10-27,Right-hand bat,Left-arm fast-medium,826901
Muhammad Irfan,10603784,United Arab Emirates,1986-01-01,Right-hand bat,Right-arm medium,1268680
Reuel Williams,11202116,West Indies,1998-05-18,Right-hand bat,Right-arm medium,452176
Satyajeet Bachhav,4507419,India,1992-11-28,Right-hand bat,Slow left-arm orthodox,591653
Karan Singh,11511499,India,2001-06-14,Right-hand bat,Left-arm slow,99922
Ashan Randika,9501529,Sri Lanka,1993-11-15,Left-hand bat,Right-arm medium,1082298
Sean Abbott,402461,Australia,1992-02-29,Right-hand bat,Right-arm fast-medium,398666
Shrikant Munde,4510211,India,1988-10-27,,,302578
Noman Shah,101867,Afghanistan,2006-04-22,Right-hand bat,,82220
Dinesh Raj S,11512125,India,2002-11-04,Right-hand bat,Legbreak,557742
Deepak Bohara,11506924,Nepal,2005-06-19,Right-hand bat,Right-arm offbreak,1346126
Balwinder Singh,11205394,India,1990-03-12,Right-hand bat,Right-arm medium,9127829
Waseem Ahmed,11512126,India,2001-05-24,Right-hand bat,Right-arm medium,126119
Arya Mone,11531970,India,2008-04-03,,,3019454
Kaynat Hafeez,7504804,Pakistan,1996-06-17,Right-hand bat,Right-arm offbreak,941785
Sherry Butt,900065,Belgium,1982-01-14,Right-hand bat,Right-arm offbreak,520127
Dominic Goodman,3005165,England,2000-10-23,Right-hand bat,Right-arm medium,1194967
Aniket Porwal,11509259,India,1998-06-21,Right-hand bat,,6325250
Anwar Arudin,6000231,Malaysia,1984-07-09,Left-hand bat,Right-arm medium-fast,320755
Abhishek Sharma,4500048,India,2000-09-04,Left-hand bat,Slow left-arm orthodox,1070183
Ranjit Kumar,11507354,Nepal,2006-04-07,Left-hand bat,Slow left-arm orthodox,9998939
Nayan Wani,11531971,India,2007-03-13,,,405065
Samina Aftab,11532095,Pakistan,2003-02-23,Right-hand bat,,4125933
Roshni Seth,11507533,Singapore,1999-08-09,Right-hand bat,Right-arm medium,6541254
Tom Price,3004461,England,2000-01-02,Right-hand bat,Right-arm medium,905969
Roma Raval,11507532,Singapore,2008-02-01,Right-hand bat,Right-arm medium,6541253
Sara Merican,11507531,Singapore,1996-04-19,Right-hand bat,Right-arm medium,6541252
Ali Ahmad,101103,Afghanistan,1999-01-01,Right-hand bat,Right-arm medium,1109167
Kasun Sandaruwan,9503451,Sri Lanka,1997-05-27,Right-hand bat,,843887
Dwane Walker,11511179,West Indies,1998-02-15,Right-hand bat,Right-arm fast,170984
Sahil Hassan,11529513,India,1997-01-29,,,37970857
Sandesh Thapa,11531917,Nepal,2003-02-01,Right-hand bat,Right-arm fast-medium,4174315
Adarsh Chavan,11531972,India,2007-09-28,,,2591690
Sabbir Ahmed,801643,Bangladesh,2000-02-19,Right-hand bat,Right-arm medium,1012179
Sania Rasheed,11532096,Pakistan,2006-11-17,Right-hand bat,,9063935
Absar Alam,11203331,Pakistan,1992-08-01,Right-hand bat,Right-arm medium,556102
Saeed Ahmad,11501629,Sweden,2000-04-18,Left-hand bat,Right-arm fast,129372574
Jack Leaning,3007823,England,1993-10-18,Right-hand bat,Right-arm medium-fast,517249
Sarabjeet Singh,11206293,India,1991-07-28,Right-hand bat,Slow left-arm orthodox,104900
Sardar Abbasi,11512418,Pakistan,2003-11-10,Right-hand bat,Right-arm medium,194416
Waheed Ahmad,11511232,United Arab Emirates,2001-10-14,Right-hand bat,Right-arm medium,170695
Zulfiqar Zaidi,11512217,Hungary,1990-08-07,Right-hand bat,Right-arm fast,910671
Sandeep Mallidi,9900143,Sweden,1997-08-25,Right-hand bat,Right-arm fast,1268958
Abhijit Dey,11529514,India,1997-07-21,,,61197855
Ali Shabaz,11502515,Hungary,1992-01-01,Right-hand bat,Right-arm fast,100180
Shreyas Pawar,11531973,India,2003-12-01,,,5400028
Aliya Riaz,7500167,Pakistan,1992-09-24,Right-hand bat,Right-arm medium,572645
Keith Barker,3008096,England,1986-10-21,Left-hand bat,Left-arm medium-fast,354441
Abdullah Tarakhil,11511105,Afghanistan,2000-12-05,,,1304672
Shrikant Mundhe,4510212,India,1988-10-27,Right-hand bat,Right-arm medium,279862
Chamod Sandaru,9503037,Sri Lanka,2001-04-27,Right-hand bat,Right-arm offbreak,1194793
Sukhwinder Singh,8000009,Portugal,1985-04-12,Right-hand bat,Right-arm offbreak,1204648
Aiman Anwer,7502912,Pakistan,1991-09-14,Right-hand bat,Right-arm medium-fast,941805
Shiv Kumar,11502108,Romania,1986-08-30,Right-hand bat,Right-arm medium,98900
Ali Murad,11511106,Afghanistan,2004-03-28,Right-hand bat,Right-arm offbreak,384255
Niraj Kumar Yadav,11531919,Nepal,2007-07-11,Right-hand bat,,6020827
Mohammad Banadar,11531974,India,2007-08-19,,,8698756
Laiba Nasir,11203377,Pakistan,2006-08-03,Right-hand bat,Right-arm medium,1293088
Yash Vagadia,11501140,England,2004-05-07,Right-hand bat,Right-arm offbreak,129372291
Sarfaraz Shaikh,11205080,India,1995-01-12,Right-hand bat,Right-arm offbreak,185067
Dwaine Pretorius,9205751,South Africa,1989-03-29,Right-hand bat,Right-arm medium-fast,327830
Ahammad Ullah,801980,Bangladesh,1999-02-01,Right-hand bat,Right-arm fast,556103
Narun Singh,11511181,West Indies,1998-11-04,,,170986
Harman Harman,11512024,India,1996-07-26,Right-hand bat,Right-arm medium,124908
Gaurab Rabidas,11529516,India,1998-02-11,,,445113
Anil Parmar,11512094,Norway,1987-02-06,Left-hand bat,Slow left-arm orthodox,185935
Sumit Chauhan,11512420,India,1994-04-02,Right-hand bat,Right-arm fast,165234
Ali Saleem,7300048,Norway,1979-09-13,Right-hand bat,,523825
Pradip Paswan,11501570,Nepal,2001-07-01,Right-hand bat,Slow left-arm orthodox,1359613
Prathmesh Jha,11531975,India,2006-08-15,,,4038145
Foysal Ahmed,800965,Bangladesh,1999-10-27,Right-hand bat,Right-arm offbreak,926601
Aman Fatima,11532098,Pakistan,2005-08-20,Right-hand bat,,3007933
Brandon Mavuta,11400740,Zimbabwe,1997-03-04,Right-hand bat,Legbreak,806239
Yash Singh,11204992,India,2000-11-02,Left-hand bat,Slow left-arm orthodox,103323
Syed Tanveer,11206291,India,1992-08-21,Right-hand bat,Right-arm offbreak,89833
Abdul Mumin,11512218,Hungary,2000-10-07,Right-hand bat,Right-arm medium,116467
Niaz ul Islam,11509333,United Arab Emirates,1993-04-16,Right-hand bat,Right-arm offbreak,9634539
Sonu Yadav,11531976,India,2006-10-29,,,3942504
Mukesh Suthar,11532064,Tanzania,1997-09-27,Right-hand bat,,1118059
Arijah Haseeb,11532099,Pakistan,2002-05-07,Right-hand bat,Right-arm medium,1391519
Matt Noble,11532161,Mexico,1992-11-08,Left-hand bat,Left-arm medium,7727722
Aasif Sheikh,6800267,Nepal,2001-01-22,Right-hand bat,,1058514
Maheesh Theekshana,9502109,Sri Lanka,2000-08-01,Right-hand bat,Right-arm offbreak,1138316
Dastagir Khan,100800,Afghanistan,1995-01-04,Right-hand bat,Right-arm medium,1108509
Nishank L,11512132,India,2002-07-20,Right-hand bat,,158213
Tehseen Ullah,11510989,Cyprus,1993-01-06,Right-hand bat,Right-arm medium,123796
Anmolpreet Singh,4500243,India,1998-03-28,Right-hand bat,Right-arm offbreak,851261
Nandan Yadav,6800329,Nepal,2000-07-27,Right-hand bat,Right-arm medium,1058498
Pratik G,11531977,India,2005-07-06,,,6245243
Eyman Fatima,11203360,Pakistan,2004-10-12,Right-hand bat,Right-arm medium,1352091
Shoiab Bashir,11532130,England,2003-10-13,Right-hand bat,Right-arm offbreak,6370425
Umar Faisal,11506208,United Arab Emirates,2008-08-05,Right-hand bat,Legbreak,129374052
Ronell Walker,11511182,West Indies,2004-09-25,,,171260
Nayan Chakrabarty,11529519,India,2003-11-21,,,57592684
Mohmand Rehmatullah,11502471,Bulgaria,1995-02-01,Right-hand bat,Right-arm medium,1293727977
Dhairya Desai,10603930,United Arab Emirates,2009-06-10,Right-hand bat,,1269238
Tarun Sareen,11502885,India,1994-10-08,Right-hand bat,,100273
Sayan Mukherjee,4511071,India,1991-11-30,Left-hand bat,,79797904
Shalini B,11512275,India,2005-08-10,Right-hand bat,,170968
Shamima Sultana,801703,Bangladesh,1988-03-09,Right-hand bat,,535870
Sanket Jagtap,11531978,India,1998-08-23,,,8822084
Beyers Swanepoel ,11532131,South Africa,1998-05-06,Left-hand bat,Right-arm fast,2497565
Yuvraj Khatri,11501569,Nepal,2007-09-30,Right-hand bat,Legbreak,1332891
Imran Butt,11511740,Czechia,1989-12-13,Right-hand bat,Right-arm slow,95038
Kansara Vatsal,11511508,Czech Republic,1991-01-01,Right-hand bat,,143807
Robin Ahmed,11510863,Bangladesh,1990-07-05,Left-hand bat,Right-arm slow,511069
Sean Williams,11400416,Zimbabwe,1986-09-26,Left-hand bat,Slow left-arm orthodox,55870
Deron Hypolite,11202119,West Indies,1996-01-08,Left-hand bat,Right-arm offbreak,4522232
Aayush Raktade,11511137,India,2007-11-25,Right-hand bat,Right-arm offbreak,819432
Saleem Abdul Qudous,11508250,United Arab Emirates,1993-09-02,Right-hand bat,,102140
Sunayana Mishra,11502990,India,2003-12-09,Right-hand bat,,100315
Neelahandi De Silva,11512383,Sri Lanka,1984-08-07,Right-hand bat,Right-arm slow,194787
Saad Riaz,11512161,Hungary,2001-06-28,Right-hand bat,Right-arm medium,125117
Abu Hassan,11529520,India,2004-12-20,,,91298772
Amit Shrestha,6800402,Nepal,1993-10-14,Right-hand bat,,633520
Amar Khedekar,11531979,India,1983-04-24,,,1943177
Rehmat Noreen,11532101,Pakistan,2001-06-02,Left-hand bat,Slow left-arm orthodox,3497443
Gabe Bell,402896,Australia,1995-07-03,Right-hand bat,Right-arm medium,638919
Tahlia Wilson,402509,Australia,1999-10-21,Right-hand bat,Right-arm medium,1142969
Suhan Ahmed,11510864,Bangladesh,1998-04-08,Right-hand bat,Left-arm medium,627502
Juma Gul,100869,Afghanistan,1999-11-10,Right-hand bat,Right-arm offbreak,793455
Satnam Singh,3700296,Germany,1986-11-20,Right-hand bat,Right-arm medium-fast,426514
Pathirannehelage Jayathilake,11512384,Sri Lanka,1992-07-16,Right-hand bat,Right-arm offbreak,160064
Durai Mani,11512229,Romania,1998-02-02,Right-hand bat,Right-arm offbreak,125063
Nur Arianna Natsya,6000289,Malaysia,2002-03-28,Left-hand bat,Slow left-arm orthodox,1050031
Jaskirat Singh,11203700,India,2004-03-03,Left-hand bat,Right-arm medium-fast,749381
Abhijit Mal,4511285,India,1995-05-04,Right-hand bat,,87654321
Sasha Azmi,6000305,Malaysia,2001-08-15,Right-hand bat,Right-arm medium-fast,1050035
Jashim Uddin,11511741,Czechia,1998-02-16,Right-hand bat,Left-arm slow,124428
Wan Nor Zulaika,6000103,Malaysia,2003-06-01,Right-hand bat,Right-arm medium,1171665
Suman Lohar,11529521,India,2001-02-19,,,69715736
Mohsin Khan,10600446,United Arab Emirates,1993-02-26,Right-hand bat,Right-arm medium,1113985
Deepak Serala,11531920,Nepal,2007-09-10,,Legbreak,1313254
Manoj Choudary,11531980,India,1998-11-25,,,3531408
Sana Talib,11532102,Pakistan,2006-05-14,Right-hand bat,Right-arm medium-fast,1307981
Will Williams,7101148,New Zealand,1992-10-06,Right-hand bat,Right-arm medium,590913
James Minto,11512921,England,2007-11-26,Left-hand bat,Left-arm fast-medium,1440260
Ali Raza,11510991,Cyprus,1990-11-13,Right-hand bat,Legbreak,58725
Ishan Rajesh,11511194,United Arab Emirates,2009-10-13,Left-hand bat,Slow left-arm orthodox,980245
Cazari Charles,11511183,West Indies,2001-03-01,,,171259
Dilsad Ali,11508031,Nepal,2007-05-03,Right-hand bat,,129374778
Harshil Sawant,11531981,India,2008-08-28,,,384048
Syeda Masooma Zahra,11532103,Pakistan,2001-07-31,Left-hand bat,Right-arm medium,8778295
Harry Conway ,11532132,Australia,1992-09-17,Right-hand bat,Right-arm fast-medium,3589111
Luiz,11532197,Brazil,2004-10-19,Right-hand bat,Right-arm medium,1377679373
Nipun Dhananjaya,9500827,Sri Lanka,2000-09-28,Left-hand bat,Right-arm offbreak,1126082
Gulsan Jha,6800520,Nepal,1995-01-01,Left-hand bat,Right-arm medium,1253822
Yogesh Chavan,11502019,India,1992-11-07,Right-hand bat,Right-arm offbreak,13791569
Tania Saeed,11532104,Pakistan,2002-10-27,Left-hand bat,Left-arm slow,1611512
Ajeet Singh Dale,3004641,England,2000-07-02,Right-hand bat,Right-arm fast-medium,906677
Kapil Kumar,11500257,India,2006-08-31,Right-hand bat,Right-arm medium,77798
Samartha Bhosale,11531982,India,2000-05-11,,,8825902
Yusra Ahtesham,11532105,Pakistan,1997-01-21,Right-hand bat,,8683076
Kemar Roach,11200730,West Indies,1988-06-30,Right-hand bat,Right-arm fast-medium,230553
Tahir Zaman,11508793,United Arab Emirates,2002-03-07,Right-hand bat,Right-arm fast,6321576
Kushal Bhurtel,6800059,Nepal,1997-01-22,Right-hand bat,Right-arm medium,794713
Juyel Mia,11510994,Cyprus,2003-11-05,Right-hand bat,Right-arm fast,123765
Tamil Dhileepan,11512137,India,1997-11-04,Right-hand bat,Legbreak,1380115
Lai Wing Kai,11529256,Hong Kong,1988-03-14,Right-hand bat,Right-arm medium,230946
Pushpalatha,11512279,India,2002-01-06,Right-hand bat,Right-arm medium,37262
Aarif Sheikh,6800266,Nepal,1997-10-05,Right-hand bat,Right-arm medium,701217
Ramasre Yadav,11531983,India,2008-05-21,,,9845342
Zunish Abdul Sattar,11532106,Pakistan,2001-10-25,Right-hand bat,Legbreak,2070160
Rahul Gholiya,11503135,India,1997-05-18,Right-hand bat,Right-arm medium,100356
Muhammad Jawadullah,10604384,United Arab Emirates,1999-03-12,Left-hand bat,Left-arm fast-medium,1353033
Avishka Fernando,9504414,Sri Lanka,1998-04-05,Right-hand bat,Right-arm medium-fast,784369
Tom Lammonby,3006790,England,2000-06-02,Left-hand bat,Left-arm medium-fast,902907
Vivan,11512807,India,2007-08-25,,,391238
Sagar Dhakal,6800490,Nepal,2001-12-14,Right-hand bat,Slow left-arm orthodox,1147980
Jake Wetherald,11532133,Australia,1994-11-04,Left-hand bat,Legbreak,8889481
Sagar Kalyan,10603591,United Arab Emirates,1996-09-30,Right-hand bat,Right-arm medium,112112310
Santosh Hatti,11529258,India,2003-11-30,Right-hand bat,Right-arm medium-fast,9563454
Kamran Ghulam,7504785,Pakistan,1995-10-10,Right-hand bat,Slow left-arm orthodox,623636
Roelof van der Merwe,6900293,Netherlands,1984-12-31,Right-hand bat,Slow left-arm orthodox,47850
Bharath Gaddam,11512165,Hungary,1993-08-15,Right-hand bat,Right-arm medium,978922
Muhammad Khaliq,11510996,Cyprus,1995-02-02,Right-hand bat,Right-arm slow,127365
Sompal Kami,6800381,Nepal,1996-02-02,Right-hand bat,Right-arm fast-medium,701215
Yuvraj Zagade,11531985,India,1993-03-04,,,9823710
Samruddhi Rawool,11507672,India,1999-02-15,Right-hand bat,,129374534
Jordan Thompson,11532134,England,1996-10-09,Left-hand bat,Right-arm medium-fast,6631660
Suhan Rahman,11532107,Portugal,1993-12-13,Right-hand bat,Right-arm medium,3140119
Richie Berrington,8600072,Scotland,1987-04-03,Right-hand bat,Right-arm medium-fast,25490
Haseeb Ur Rehman,10603816,United Arab Emirates,1994-10-05,Right-hand bat,,96038
Mahad Shinwari,11512662,Malaysia,2004-02-14,Right-hand bat,,910699
Munna Hasan,11510997,Cyprus,2001-10-10,Right-hand bat,Right-arm slow,123766
Kartik Chadha,11511271,India,2004-08-01,,,171316
Amaan Gupta,11511352,India,2002-04-15,,,171387
Athrva Patil,11531986,India,1999-11-22,,,5223906
Kamal Kumar,11510998,Portugal,1991-11-08,Right-hand bat,Right-arm medium,687761
Syed Sardar Shaharyar,11512673,Malaysia,1997-04-09,Right-hand bat,Right-arm medium,474711
Soniya Prasad,11512282,India,2002-01-06,Right-hand bat,Right-arm medium-fast,170893
Paul van Meekeren,6900283,Netherlands,1993-01-15,Right-hand bat,Right-arm fast-medium,348109
Ashish Kanjane,11531987,India,2001-02-13,,,2350961
Monirul Islam,800247,Bangladesh,1990-04-27,Right-hand bat,Right-arm fast,933249
Naeem Khan,10602121,United Arab Emirates,1998-12-16,Right-hand bat,Right-arm medium,1120816
Jayant Bhosale,11531988,India,1962-12-04,,,6128873
Ayaan Misbah,11506142,United Arab Emirates,2009-04-03,Right-hand bat,Right-arm medium-fast,129374027
Muhammad Ihsan,7505733,Pakistan,1996-05-12,Right-hand bat,,1294512
Tom Alsop,3008971,England,1995-11-26,Left-hand bat,,602155
Emadur Mahtab,11510999,Cyprus,1998-01-03,Right-hand bat,Right-arm medium,117772
Aditya Chauhan,11500199,India,2003-07-20,Right-hand bat,Right-arm medium-fast,1269099
